Read ID,Poly(A) end,Adapter end,Leader end,Start end
c0c4822a-e8c8-4d62-92f2-2dad8c249ba0,14757,5226,472,375
c14c9d2c-1ff7-4f17-a12e-4edd35089913,5370,3766,341,191
c0947a60-1619-4f53-8bbb-4dfd1e454147,14587,5004,460,459
c158e4ee-b7d1-4f4a-b2ed-2b2465a18161,13810,6562,550,397
c1c669c5-9036-4229-a6cd-4a2526884ad4,9763,4257,540,287
c1e9799e-650b-4b16-9729-4bda35f75125,8150,4550,354,163
c2c7f9c9-fde2-4da1-9d4a-46b734578d41,7540,4618,300,299
c17df933-d1c1-4531-840a-ee438f6a1676,14187,5132,454,453
c1155a41-ecd0-47f2-9493-a2639861148b,10971,7880,167,166
c2fbfc50-62aa-4f81-ae0a-0ed0d2a36f8c,9783,4808,531,530
c77d54ab-ee5a-4c5f-bbbd-53685564d853,7343,4697,2,1
c6a4b172-6e2a-4299-a80c-5357d13f02e2,7194,5358,273,272
cb600a94-611d-49cc-a459-04ca93c3ca62,5214,4862,487,416
ca9c3132-82fb-44c1-9a4b-121da2cd5ce8,14452,4469,632,438
ca10fae1-3b0d-4637-a9f0-7cb53d0e3b0f,61,49,2,1
cac1e546-c718-4376-8369-2e25d0e21d08,11116,5216,776,483
cbef6c7c-fc2e-4eab-a261-7de4b952df7c,9672,8108,2,1
ccabc865-b7c5-42c4-ae67-6b8ee7ecc976,9272,4867,2,1
cdab8721-a9eb-4e1b-8925-fee81b62bd93,10903,7438,98,97
ca0964d5-28b3-4001-896f-4be2f01aef95,11242,7704,2,1
cc538ad6-89ed-43ba-99a6-e685c679d3a7,20994,15581,2,1
ccbc40d9-b08d-49c6-8b09-820afefb027b,7789,6265,404,388
